clean_text,stars,sentiment,word_count,char_count,sent_count,avg_word_len,vader_compound,vader_pos,vader_neg,vader_neu,exclamation_count,question_count,exclamation_density,caps_ratio,unique_word_ratio,review_len_extreme
"first of all i'm not a big fan of buffet, i tried it because we got a 50 credit for staying here at monte carlo in las vegas and my friend wanted it so i gave it a chance. decent taste and there wasn't enough variety of food, service wasn't that great either. so it still doesn't change my mind about buffet.",1,Negative,62,308,3,3.9838709677419355,0.4229,0.123,0.08,0.796,0,0,0.0,0.025806451612903226,0.7936507936507936,0
"thanks yelp. i was looking for the words to describe this place and meh seems fitting.nnplayboy club is located under moon at the palms. we got in for free thanks to the promoter hookup we got. first you can't take glassware from moon down to playboy. security will take your glass and transfer the contents over to a plastic cocktail cup making you feel like you are a four year old when all of the big kids downstairs have real glassware.nnthere are a couple of tables here to gamble along with some video poker machines at the bar in the back of the club. the atmosphere here is relaxed and seems to cater to an older 40 crowd. the bunnies here looked miserable, and complained about working. you are a playboy bunnie!! for the love of god try to be happy!nni wouldn't come back here if i had to pay to get in, playboy is rather small, though intimate. there is limited seating available here, and little to no dancing. stick to here if you want to be able to hear your date and have a relaxing time. go somewhere else if you are looking to party it up.",2,Negative,199,1056,12,4.311557788944723,0.9645,0.144,0.057,0.799,3,0,0.015,0.04127579737335835,0.65,0
"service was so-so. they were receiving a delivery so that might have to do with it. food was hot and fresh, but we did not do ayce. the shrimp tempura was good, but the zucchini was a bit oily.",3,Neutral,39,193,4,3.9743589743589745,0.6705,0.136,0.0,0.864,0,0,0.0,0.041237113402061855,0.8,0
"stamoolis brothers is one of the strip district storefronts, specializing in greek and mediterranean imports. they have a good selection of olives, a decent cheese selection, a variety of ready-made dips and spreads which are pretty tasty, and some harder-to-find specialty items like rose water, pomegranate molasses, different grinds of bulgur wheat, bulk fava beans, etc. you can also get packaged bulk nuts, dried fruits, etc. when i go in here, it's usually because i'm looking for feta cheese or greek-style yogurt.nnthis place is pretty good. a couple times i've had some problems getting yogurt here, since they have a tendency to keep the yogurt on the shelf until it's almost at its sell-by date, but on the other hand, they have the cheapest price on fage yogurt that i've seen in town thus far. my mom loves a lot of their dips and spreads, so i get snacks from here a lot when she's in town. the one caution i have besides the yogurt is that they sell an inferior brand of canned tomatoes here, which gives off a very strong flavor of metal and ruins your meal.",3,Neutral,189,1074,7,4.6878306878306875,0.9215,0.12,0.054,0.826,0,0,0.0,0.01935483870967742,0.6947368421052632,0
"i want to give a 2 stars because the service staff was friendly and good as well as ambience was decent. but we came here for food not to meet the staff. food was just really mediocre, not even hot. the hashbrowns taste pre-cut and frozen. the ""real maple syrup"" is just a maple syrup blend. i could make a lot better food myself. we had pancakes, bacon, and the wolf pack. all the prices were way too high with food that's more on par with denny's. would rather ihop across the street. unfortunately it looks like another lackluster joint resides here before nypd pizza.",1,Negative,105,571,10,4.447619047619048,0.8294,0.127,0.028,0.844,0,0,0.0,0.023890784982935155,0.7641509433962265,0
"i don't understand all the hype around this place. yes it was on tv, but so what? nneach time i go i am disappointed by something. for example, the salmon is typically undercooked and lacking seasoning. i love salmon so i tried it a few times hoping it would improve, but it didn't. last time, instead of salmon i ordered a grilled wedge salad. it was covered in oil which made it inedible. nnthey also almost always mess something up in our take out order. usually it is something small like giving us regular fries instead of garlic fries, but hey, we pay extra for the garlic! it is frustrating. nnin my opinion, the food at the coffee shop next door is much better.",3,Neutral,124,669,11,4.403225806451613,0.9356,0.18,0.087,0.734,1,1,0.008,0.028064992614475627,0.744,0
"two stars for the sandwiches, negative three stars for them never answering their phone.",2,Negative,14,88,1,5.357142857142857,-0.5719,0.0,0.222,0.778,0,0,0.0,0.011235955056179775,0.8,0
i take my kids here at least two times a week. the staff is sweet and topping selection is awesome! my daughter got the captain crunch yogurt and we could not believe how it tasted exactly like the cereal. we love to play with flavor combos every time.,5,Positive,48,252,4,4.270833333333333,0.9476,0.287,0.0,0.713,1,0,0.02040816326530612,0.023715415019762844,0.8571428571428571,0
"so i have been to hickory tavern many many times before. i am actually suprised i havent reviewed it until now. the view of the city is incredible and it is conveniently located in the met, so we usually hit it before a trader joe's grocery shopping trip! nnusually my husband and i get the build your own salads. 6 ingredients for 9. the oriental dressing is amazing and bacon and avocado on a salad is just a-mazing. in addition, i love that hickory has red oak on tap. they have alot of local beers on draft and i love that about a restaurant.nnhowever, this review is more specifically directed to a situation we had today for lunch at ht. my husband and i decided to grab our typical byo salads. i don't know what was going on but it took a long time to get our food. 25-30 minutes to get a salad is kinda crazy i mean there wasnt even any cooked meat on it.....all raw ingredients!.our waitress was super sweet though and came by saying that she had no idea why we hadn't gotten our food yet and that it should be there soon. we finally got our salads and dug in.....yummy dressing! however, about half way into the salad, my husband looks up and pulls out a piece of cardboard from his salad. it was about 2 inches by a half inch. gross. we have both worked in the food industry and know that those boxes are dragged across the floor when being brought in. all i could picture is that nasty cardboard piece being spread across that whole since the dressing was tossed into the salad. nnthe waitress was, once again, very sweet and didnt really know what to do and grabbed her manager. the manager came out and was talking about boxing up the salad to go. i am assuming she was talking about boxing up a new salad and not the one with the cardboard in it....i dont know. she also offered us a free brownie. honestly, we didnt really want any other food at the time. they did comp his salad which was very sweet, hence the 2 stars instead of 1 and charged me for mine. it was just kinda weird. i mean she did apologize but it just came across like it wasnt a big deal. nnkinda frustrating that we had this happen cause we loved going to hickory tavern in the past! i'm not sure if we will be back soon, simply cause i keep picturing that nasty piece of cardboard. plus, there are so many other places to eat in the met!",2,Negative,444,2324,29,4.236486486486487,0.9459,0.095,0.069,0.836,5,0,0.011235955056179775,0.02735042735042735,0.550561797752809,1
"on 28 june 2013 i checked into the riviera hotel and casino until 5 july 2013. after being placed in a downgraded room because my room wasn't available i got settled into room 3533. non 30 june 2013 i went to turn on the floor lamp inside the room and i got a very powerful electric shock. my right hand and arm has very little feeling other than tingling now. i reported the incident immediately to the front desk. a security guard came up to my room and i filed an incident report. she assured me that risk management would call me. she took the lamp and told me maintenance would replace the lamp. the lamp wasn't replaced. after going to the er i was diagnosed with electric shock injury and was told feeling may never come back. i tried calling risk management every day. finally after 2 days i went to the front desk and demanded to speak to someone regarding my injury. the manager, debbie, came up and offered to refund my resort fees totaling 115.00 to make up for me losing the feeling in my arm by their faulty equipment in the room. they then upgraded me to the room i was supposed to have the whole time since i paid for an upgraded room. on 4 july 2013 housekeeping came to the room around 11 am. i told her i didn't need housekeeping and she said ""ok"" and walked away. we left the room around 100 and returned around 230pm. upon returning to the room none of the 4 keys we had worked. i went down to the front desk and they gave me 4 more keys. i went back to my room and those keys didn't work. i went back down but this time to the bell desk. i explained what happened and how i already got 4 new keys. he said he'd help and he followed me to my room. his key didn't work. he said something had to be wrong with the lock or mechanism so he left and went to engineering. 30 minutes later 2 security guards 1 male in a black suit and the female security who originally took my injury report arrived at my room. they told me i was locked out of my room because housekeeping came in to clean and saw my bb gun i had in my room. he told me firearms aren't allowed in the building. i had kept my bb gun in my safe which i kept locked. i told the security how i had told housekeeping i didn't need service earlier. i also told him how my bb gun, which isn't a firearm because it does not use combustion to fire a projectile instead uses air, was locked in my safe and asked how the maid saw my gun and also why was she coming back after i told her i didn't want her in my room. he then told me i was to leave the premises and was banned or ""86'd"". it took security an additional 30 minutes to get into my room because the door wasn't unlocking. the security guard kept trying to egg me on and asking ""do you have a chip on your shoulder?"" ""are you mad?"" ""why are you mad?"" he had to be asked to leave by the other security guards because he wouldn't stop egging me on. once inside i saw my safe had been pried open, my bb gun was sitting on top of the safe and the do not disturb sign that was on the door was sitting next to the safe. all the money i had in the safe was taken. i requested to file a report and i was told risk management would call me monday. they never called. they didn't refund me for my extra night stay. i filed a police report with las vegas metro police. i will never stay at the riviera. i will never recommend anyone, not even my worst enemy to stay at the riviera hotel and casino las vegas!!nnattached is a video taken while security tried to fix the door the broke.",1,Negative,695,3505,43,4.044604316546763,0.9468,0.104,0.087,0.808,2,3,0.0028735632183908046,0.02861111111111111,0.42528735632183906,1
